Generating Station,Generating Capacity(MW),Type of Generation,Integration,Region
Aberfeldie,25.0,Hydroelectric,Integrated,Columbia Region
Alouette,9.0,Hydroelectric,Integrated,Lower Mainland
Ash River,28.0,Hydroelectric,Integrated,Vancouver Island
Bridge River,490.9,Hydroelectric,Integrated,Lower Mainland
Cheakamus,174.0,Hydroelectric,Integrated,Lower Mainland
Clowhom,33,Hydroelectric,Integrated,Lower Mainland
Clayton Falls,2.0,Hydroelectric,Non-integrated,North Coast

Elko,12.0,Hydroelectric,Integrated,Columbia Region
Falls River,7.0,Hydroelectric,Integrated,North Coast
GM Shrum,2857.0,Hydroelectric,Integrated,Peace Region
John Hart,136.0,Hydroelectric,Integrated,Vancouver Island
Jordan River,170.0,Hydroelectric,Integrated,Vancouver Island
Kootenay Canal,583.0,Hydroelectric,Integrated,Columbia Region
Ladore,47.0,Hydroelectric,Integrated,Vancouver Island
La Joie,25.0,Hydroelectric,Integrated,Lower Mainland
Lake Bunzten,77.8,Hydroelectric,Integrated,Lower Mainland
Mica,2746.5,Hydroelectric,Integrated,Columbia Region
Peace Canyon,694.0,Hydroelectric,Integrated,Peace Region
Puntledge,24.0,Hydroelectric,Integrated,Vancouver Island
Revelstoke,2480.0,Hydroelectric,Integrated,Columbia Region
Ruskin,105.0,Hydroelectric,Integrated,Lower Mainland
Seton,48.0,Hydroelectric,Integrated,Lower Mainland
Seven Mile,805.0,Hydroelectric,Integrated,Columbia Region
Shuswap,6.0,Hydroelectric,Integrated,Columbia Region
Spillimacheen,4.0,Hydroelectric,Integrated,Columbia Region
Stave Falls,91.0,Hydroelectric,Integrated,Lower Mainland
Strathcona,64.0,Hydroelectric,Integrated,Vancouver Island
Waneta (1/3),164.4,Hydroelectric,Integrated,Peace Region
Wahleach,65.0,Hydroelectric,Integrated,Lower Mainland
Walter Hardman,8.0,Hydroelectric,Integrated,Columbia Region
Whatshan,59.0,Hydroelectric,Integrated,Columbia Region
Fort Nelson,73.0,Thermal,Integrated,Peace Region
Prince Rupert,46.0,Thermal,Integrated,North Coast

Ah-Sin-Heek,8.2,Diesel,Non-integrated,North Coast

Anahim Lake,3.7,Diesel,Non-integrated,North Coast

Atlin,2.9,Diesel,Non-integrated,North Coast

Bella Bella,4.9,Diesel,Non-integrated,North Coast

Dease Lake,2.4,Diesel,Non-integrated,North Coast

Eddontenajon,1.2,Diesel,Non-integrated,North Coast

Ehthlateese,0.3,Diesel,Non-integrated,Vancouver Island

Good Hope Lake,0.7,Diesel,Non-integrated,North Coast

Hartley Bay,1.1,Diesel,Non-integrated,North Coast

Masset,10.2,Diesel,Non-integrated,North Coast
McBride,5.0,Diesel,Non-integrated,Peace Region
Sandspit,9.6,Diesel,Non-integrated,North Coast
Takla,0.5,Diesel,Non-integrated,North Coast
Telegraph Creek,1.4,Diesel,Non-integrated,North Coast
Toad River,0.6,Diesel,Non-integrated,Peace Region
Tsay Keh Dene,2.4,Diesel,Non-integrated,Peace Region
Site C,1100,Hydroelectric,Integrated,Peace Region





























































